x coord, y coord, z coord, scalar
-5.8909455e-06, 1.217951e-05 ,50.000013,428851.101278
-1.8016392e-06, 16.666712 ,50.000004,629483.619838
1.2378839e-06, 33.333312 ,49.999993,578071.083544
5.7411156e-06, 50.000012 ,49.999984,368041.653521
9.2830159e-06, 50.000004 ,33.333283,338086.881613
1.4819509e-05, 49.999995 ,16.666683,533693.892513
1.7720453e-05, 49.999986 ,-1.6828071e-05,279144.057733
6.8472448e-06, 33.333286 ,-6.8848056e-06,435285.245261
-4.6909024e-06, 16.666686 ,3.6332545e-06,351068.592139
-1.5471091e-05, -1.3854515e-05 ,1.3413903e-05,201458.272765
-1.315646e-05, -4.9655666e-06 ,16.666714,359304.573703
-8.5951603e-06, 3.7255897e-06 ,33.333314,598216.637742
100.0, 4.4243401e-30 ,50.0,327194.260501
100.0, 16.6667 ,50.0,235934.056808
100.0, 33.3333 ,50.0,168270.748733
100.0, 50.0 ,50.0,284919.339207
80.0, 50.0 ,49.999998,241312.333036
60.000001, 50.000001 ,49.999995,409005.807928
40.000002, 50.000003 ,49.999991,530635.774098
20.000004, 50.000006 ,49.999987,784327.541797
19.999995, 6.1943347e-06 ,50.00001,905805.283154
39.999997, 2.6950768e-06 ,50.000008,757290.145705
59.999999, 6.8147548e-07 ,50.000005,399120.385801
80.0, 1.1610309e-07 ,50.000002,214147.466172
100.0, -1.8776089e-34 ,35.0,370494.103985
100.0, 16.6667 ,35.0,268764.920187
100.0, 33.3333 ,35.0,284100.354875
100.0, 50.0 ,35.0,310363.976858
14.999993, -2.2023638e-07 ,35.000011,773738.413228
14.999997, 16.6667 ,35.000003,906032.330151
15.000003, 33.3333 ,34.999995,905490.17632
15.000008, 50.0 ,34.999986,621280.722872
32.000005, 49.999998 ,34.99999,917734.732798
49.000003, 49.999997 ,34.999993,553662.370009
66.000001, 49.999998 ,34.999996,327780.762657
83.000001, 49.999999 ,34.999998,245409.741677
82.999999, -1.1814987e-06 ,35.000002,300722.254823
65.999999, -2.0757782e-06 ,35.000004,404085.420237
48.999998, -2.7068501e-06 ,35.000007,624455.660829
31.999996, -1.9751987e-06 ,35.000009,1085214.23555
14.999985, -1.4346763e-05 ,15.000012,514618.685363
14.999996, 16.666686 ,15.000003,765975.479296
15.000006, 33.333286 ,14.999995,665321.5489
15.000016, 49.999985 ,14.999985,649153.74243
15.000012, 49.999993 ,24.999986,678163.364517
14.999989, -7.2321325e-06 ,25.000012,693992.286252
99.999978, -8.8493604e-05 ,15.000014,27072.2171879
99.999993, 16.666612 ,15.000005,40781.0066379
100.00001, 33.333212 ,14.999997,78752.5622841
100.00002, 49.999912 ,14.999988,32051.3859191
83.000023, 49.999928 ,14.999988,62052.4553088
66.000023, 49.999944 ,14.999987,134390.260094
49.000021, 49.999959 ,14.999987,304203.709722
32.000019, 49.999973 ,14.999986,783142.443505
31.999982, -2.7197511e-05 ,15.000012,805637.187559
48.99998, -4.1359324e-05 ,15.000012,379144.80175
65.999979, -5.6467633e-05 ,15.000013,171608.382705
82.999978, -7.2260391e-05 ,15.000013,56648.0992807
99.999978, -9.6070738e-05 ,1.3539234e-05,37167.9437077
99.999994, 16.666604 ,5.0977874e-06,66122.2996871
100.00001, 33.333204 ,-3.3032086e-06,54490.9213125
100.00002, 49.999904 ,-1.1744769e-05,39035.2375652
20.000019, 49.999974 ,-1.4148268e-05,790175.146467
40.000021, 49.999959 ,-1.3310445e-05,443174.882038
60.000023, 49.999941 ,-1.2777536e-05,209907.014217
80.000024, 49.999923 ,-1.2303306e-05,90946.2912862
79.999979, -7.7016079e-05 ,1.3033098e-05,132368.727184
59.99998, -5.8647518e-05 ,1.2565001e-05,264271.90389
39.999982, -4.1455745e-05 ,1.208261e-05,439049.845164
19.999984, -2.6207938e-05 ,1.1792289e-05,693133.156242
-1.1320378e-06, 20.887604 ,33.386901,436619.022988
4.5926546e-06, 36.931604 ,32.884391,504988.598155
2.6318708e-06, 29.112395 ,16.613096,681703.463405
-5.7042266e-06, 13.068395 ,17.115606,455182.904527
16.7103, 25.342607 ,49.999999,748112.727985
83.2897, 24.6574 ,50.0,160317.810756
65.7304, 31.8996 ,49.999999,235501.537978
31.311201, 35.445004 ,49.999995,484401.173315
34.269599, 18.100403 ,50.000002,401654.998361
68.6888, 14.555 ,50.000002,218243.985489
47.7263, 33.663401 ,49.999997,325679.232615
52.2737, 16.336601 ,50.000002,291206.094185
85.5633, 25.424399 ,35.0,248076.973383
34.365299, 17.294498 ,35.000002,673545.357011
39.829002, 33.614897 ,34.999997,515705.450892
72.705901, 35.478598 ,34.999999,262838.593441
69.816699, 18.488398 ,35.000001,328064.247874
52.685099, 17.247797 ,35.000002,343025.518922
57.577601, 34.029697 ,34.999998,353345.185257
29.436701, 25.424375 ,14.999999,284004.796059
80.634694, 17.29443 ,15.000004,100129.324462
75.171008, 33.614835 ,14.999996,80634.3557667
42.294109, 35.478565 ,14.999994,190987.505115
45.183296, 18.488362 ,15.000003,177589.813677
62.314894, 17.247747 ,15.000004,113140.177786
57.422408, 34.029651 ,14.999995,104428.238843
16.710301, 24.657376 ,-9.556823e-07,386983.568323
83.289701, 25.34252 ,3.2114256e-07,85326.4614482
34.269607, 31.899563 ,-4.1766301e-06,298109.872877
68.68881, 35.444934 ,-5.1634781e-06,80859.297577
65.730395, 18.100336 ,3.586441e-06,97912.2718207
31.311193, 14.554966 ,4.4440774e-06,327833.689003
52.273708, 33.663348 ,-4.6372258e-06,125915.590011
47.726294, 16.336552 ,4.0214262e-06,161536.542315
