2,2,2,3.9793,4,4,4,3.8298,3.0514,2.2292,2,2,2,2,2,2.1822,2.4002,2.6943,2.9825,3.6937
2,2,2,2,3.555,3.3042,2.7061,2,2,2,2.7599,3.3044,3.5567,3.6822,3.7884,3.8527,3.8495,3.7813,3.7049,3.7462
2,2,2,2,2,2,2,2,2.4476,3.228,3.5321,3.6307,1,1,1,1,1,1,1,1
3.9793,2,2,2,2,2.0584,3.1491,3.6266,3.6551,3.5821,1,1,1,1,1,1,3.8685,3.7443,3.6786,3.6638
4,3.555,2,2,2,2,3.3118,4,1,1,1,1,1,3.5862,3.672,3.6582,3.4873,3.2209,3.181,3.7415
4,3.3042,2,2.0584,2,2,2,3.4962,3.9146,1,1,3.5132,3.549,3.6185,3.559,3.193,2.7824,2.8399,3.2763,3.9188
4,2.7061,2,3.1491,3.3118,2,2,2,3.1052,3.6042,3.5072,3.2796,2.9313,2.5044,2.1532,2.1085,2.5322,3.2115,3.6463,4
3.8298,2,2,3.6266,4,3.4962,2,2,2,2,2,2,2,2,2,2.2706,2.7014,3.0622,3.427,3.9504
3.0514,2,2.4476,3.6551,1,3.9146,3.1052,2,2,2,2,2.0842,2.6823,3.2904,3.5207,3.477,3.2758,3.1022,3.1486,3.7668
2.2292,2,3.228,3.5821,1,1,3.6042,2,2,2,2,3.5239,4,1,1,1,3.7182,3.6782,3.6206,3.702
2,2.7599,3.5321,1,1,1,3.5072,2,2,2,2,2,3.857,1,1,1,1,1,1,1
2,3.3044,3.6307,1,1,3.5132,3.2796,2,2.0842,3.5239,2,2,2,3.7517,3.7497,3.8084,3.7741,3.7073,3.6524,3.727
2,3.5567,1,1,1,3.549,2.9313,2,2.6823,4,3.857,2,2,2,3.1696,3.1409,3.022,3.0396,3.1523,3.7858
2,3.6822,1,1,3.5862,3.6185,2.5044,2,3.2904,1,1,3.7517,2,2,2,2.6245,2.7271,2.9955,3.347,3.9006
2,3.7884,1,1,3.672,3.559,2.1532,2,3.5207,1,1,3.7497,3.1696,2,2,2.4895,3.3581,3.7214,3.7536,3.973
2.1822,3.8527,1,1,3.6582,3.193,2.1085,2.2706,3.477,1,1,3.8084,3.1409,2.6245,2.4895,2,2.7683,3.6199,3.795,4
2.4002,3.8495,1,3.8685,3.4873,2.7824,2.5322,2.7014,3.2758,3.7182,1,3.7741,3.022,2.7271,3.3581,2.7683,2.2407,2.9493,3.4639,3.9013
2.6943,3.7813,1,3.7443,3.2209,2.8399,3.2115,3.0622,3.1022,3.6782,1,3.7073,3.0396,2.9955,3.7214,3.6199,2.9493,2.8104,3.2272,3.8887
2.9825,3.7049,1,3.6786,3.181,3.2763,3.6463,3.427,3.1486,3.6206,1,3.6524,3.1523,3.347,3.7536,3.795,3.4639,3.2272,3.2695,3.8251
3.6937,3.7462,1,3.6638,3.7415,3.9188,4,3.9504,3.7668,3.702,1,3.727,3.7858,3.9006,3.973,4,3.9013,3.8887,3.8251,3.7773
